,Agency,Gage,Timestamp,Discharge [cfs],Stage [ft],Discharge [m^3/s]
111,USGS,5355200,1/20/1992,779.0,0.500724102,22.0587872
112,USGS,5355200,1/21/1992,736.0,0.473084646,20.8411648
113,USGS,5355200,1/22/1992,615.0,0.395308502,17.414832
114,USGS,5355200,1/23/1992,571.0,0.367026268,16.1688928
115,USGS,5355200,1/24/1992,655.0,0.421019624,18.547504
116,USGS,5355200,1/25/1992,469.0,0.301462906,13.2805792
117,USGS,5355200,1/26/1992,644.0,0.413949065,18.2360192
118,USGS,5355200,1/27/1992,461.0,0.296320682,13.0540448
119,USGS,5355200,1/28/1992,544.0,0.34967126,15.404339199999999
120,USGS,5355200,1/29/1992,420.0,0.269966782,11.893056
121,USGS,5355200,1/30/1992,473.0,0.304034019,13.3938464
122,USGS,5355200,1/31/1992,342.0,0.219830094,9.6843456
123,USGS,5355200,2/1/1992,381.0,0.244898438,10.788700799999999
124,USGS,5355200,2/2/1992,363.0,0.233328433,10.278998399999999
125,USGS,5355200,2/3/1992,370.0,0.237827879,10.477216
126,USGS,5355200,2/4/1992,412.0,0.264824557,11.6665216
127,USGS,5355200,2/5/1992,432.0,0.277680118,12.232857599999999
128,USGS,5355200,2/6/1992,491.0,0.315604024,13.9035488
129,USGS,5355200,2/7/1992,493.0,0.31688958,13.960182399999999
130,USGS,5355200,2/8/1992,500.0,0.321389026,14.1584
131,USGS,5355200,2/9/1992,533.0,0.342600702,15.0928544
132,USGS,5355200,2/10/1992,491.0,0.315604024,13.9035488
133,USGS,5355200,2/11/1992,429.0,0.275751784,12.1479072
134,USGS,5355200,2/12/1992,401.0,0.257753999,11.3550368
135,USGS,5355200,2/13/1992,434.0,0.278965675,12.2894912
136,USGS,5355200,2/14/1992,392.0,0.251968996,11.1001856
137,USGS,5355200,2/15/1992,369.0,0.237185101,10.4488992
138,USGS,5355200,2/16/1992,388.0,0.249397884,10.9869184
139,USGS,5355200,2/17/1992,345.0,0.221758428,9.769296
140,USGS,5355200,2/18/1992,431.0,0.27703734,12.2045408
141,USGS,5355200,2/19/1992,525.0,0.337458477,14.86632
142,USGS,5355200,2/20/1992,490.0,0.314961245,13.875232
143,USGS,5355200,2/21/1992,455.0,0.292464014,12.884144
144,USGS,5355200,2/22/1992,415.0,0.266752892,11.751472
145,USGS,5355200,2/23/1992,380.0,0.24425566,10.760384
146,USGS,5355200,2/24/1992,350.0,0.224972318,9.91088
147,USGS,5355200,2/25/1992,330.0,0.212116757,9.344543999999999
148,USGS,5355200,2/26/1992,523.0,0.336172921,14.8096864
149,USGS,5355200,2/27/1992,528.0,0.339386811,14.9512704
150,USGS,5355200,2/28/1992,766.0,0.492367988,21.6906688
151,USGS,5355200,2/29/1992,1070.0,0.687772516,30.298976
152,USGS,5355200,3/1/1992,2350.0,1.510528422,66.54448
153,USGS,5355200,3/2/1992,3620.0,2.326856548,102.506816
154,USGS,5355200,3/3/1992,3250.0,2.089028669,92.0296
155,USGS,5355200,3/4/1992,3110.0,1.999039742,88.065248
156,USGS,5355200,3/5/1992,3110.0,1.999039742,88.065248
157,USGS,5355200,3/6/1992,3230.0,2.076173108,91.463264
158,USGS,5355200,3/7/1992,3400.0,2.185445377,96.27712
159,USGS,5355200,3/8/1992,3380.0,2.172589816,95.710784
160,USGS,5355200,3/9/1992,3390.0,2.179017596,95.993952
161,USGS,5355200,3/10/1992,3240.0,2.082600888,91.746432
162,USGS,5355200,3/11/1992,3240.0,2.082600888,91.746432
163,USGS,5355200,3/12/1992,3220.0,2.069745327,91.18009599999999
164,USGS,5355200,3/13/1992,3070.0,1.973328619,86.932576
165,USGS,5355200,3/14/1992,2700.0,1.73550074,76.45536
166,USGS,5355200,3/15/1992,2440.0,1.568378447,69.092992
167,USGS,5355200,3/16/1992,2240.0,1.439822836,63.429632
168,USGS,5355200,3/17/1992,2170.0,1.394828373,61.447456
169,USGS,5355200,3/18/1992,2140.0,1.375545031,60.597952
170,USGS,5355200,3/19/1992,2160.0,1.388400592,61.164288
171,USGS,5355200,3/20/1992,2110.0,1.35626169,59.748447999999996
172,USGS,5355200,3/21/1992,2070.0,1.330550568,58.615776
173,USGS,5355200,3/22/1992,2050.0,1.317695007,58.04944
174,USGS,5355200,3/23/1992,1960.0,1.259844982,55.500928
175,USGS,5355200,3/24/1992,2000.0,1.285556104,56.6336
176,USGS,5355200,3/25/1992,2660.0,1.709789618,75.322688
177,USGS,5355200,3/26/1992,2550.0,1.639084032,72.20784
178,USGS,5355200,3/27/1992,2260.0,1.452678397,63.995968
179,USGS,5355200,3/28/1992,2090.0,1.343406129,59.182112
180,USGS,5355200,3/29/1992,1910.0,1.227706079,54.085088
181,USGS,5355200,3/30/1992,2090.0,1.343406129,59.182112
182,USGS,5355200,3/31/1992,2240.0,1.439822836,63.429632
183,USGS,5355200,4/1/1992,2210.0,1.420539495,62.580128
184,USGS,5355200,4/2/1992,2090.0,1.343406129,59.182112
185,USGS,5355200,4/3/1992,1910.0,1.227706079,54.085088
186,USGS,5355200,4/4/1992,1770.0,1.137717152,50.120736
187,USGS,5355200,4/5/1992,1650.0,1.060583786,46.72272
188,USGS,5355200,4/6/1992,1590.0,1.022017103,45.023711999999996
189,USGS,5355200,4/7/1992,1510.0,0.970594858,42.758368
190,USGS,5355200,4/8/1992,1420.0,0.912744834,40.209856
191,USGS,5355200,4/9/1992,1290.0,0.829183687,36.528672
192,USGS,5355200,4/10/1992,1320.0,0.848467029,37.378175999999996
193,USGS,5355200,4/11/1992,1220.0,0.784189223,34.546496
194,USGS,5355200,4/12/1992,1030.0,0.662061394,29.166304
195,USGS,5355200,4/13/1992,1000.0,0.642778052,28.3168
196,USGS,5355200,4/14/1992,1030.0,0.662061394,29.166304
197,USGS,5355200,4/15/1992,1140.0,0.732766979,32.281152
198,USGS,5355200,4/16/1992,1280.0,0.822755906,36.245504
199,USGS,5355200,4/17/1992,1460.0,0.938455956,41.342528
200,USGS,5355200,4/18/1992,1790.0,1.150572713,50.687072
201,USGS,5355200,4/19/1992,1750.0,1.124861591,49.5544
202,USGS,5355200,4/20/1992,2130.0,1.369117251,60.314783999999996
203,USGS,5355200,4/21/1992,2590.0,1.664795155,73.340512
204,USGS,5355200,4/22/1992,3000.0,1.928334156,84.9504
205,USGS,5355200,4/23/1992,3060.0,1.966900839,86.649408
206,USGS,5355200,4/24/1992,2890.0,1.85762857,81.83555199999999
207,USGS,5355200,4/25/1992,2510.0,1.61337291,71.075168
208,USGS,5355200,4/26/1992,2250.0,1.446250617,63.7128
209,USGS,5355200,4/27/1992,2030.0,1.304839445,57.483104
210,USGS,5355200,4/28/1992,1950.0,1.253417201,55.21776
211,USGS,5355200,4/29/1992,1820.0,1.169856055,51.536576
212,USGS,5355200,4/30/1992,1680.0,1.079867127,47.572224
213,USGS,5355200,5/1/1992,1600.0,1.028444883,45.30688
214,USGS,5355200,5/2/1992,1510.0,0.970594858,42.758368
215,USGS,5355200,5/3/1992,1420.0,0.912744834,40.209856
216,USGS,5355200,5/4/1992,1320.0,0.848467029,37.378175999999996
217,USGS,5355200,5/5/1992,1220.0,0.784189223,34.546496
218,USGS,5355200,5/6/1992,1100.0,0.707055857,31.14848
219,USGS,5355200,5/7/1992,1060.0,0.681344735,30.015808
220,USGS,5355200,5/8/1992,1030.0,0.662061394,29.166304
221,USGS,5355200,5/9/1992,988.0,0.635064715,27.9769984
222,USGS,5355200,5/10/1992,960.0,0.61706693,27.184128
223,USGS,5355200,5/11/1992,939.0,0.603568591,26.5894752
224,USGS,5355200,5/12/1992,923.0,0.593284142,26.1364064
225,USGS,5355200,5/13/1992,908.0,0.583642471,25.7116544
226,USGS,5355200,5/14/1992,878.0,0.56435913,24.8621504
227,USGS,5355200,5/15/1992,699.0,0.449301858,19.7934432
228,USGS,5355200,5/16/1992,823.0,0.529006337,23.3047264
229,USGS,5355200,5/17/1992,878.0,0.56435913,24.8621504
230,USGS,5355200,5/18/1992,874.0,0.561788017,24.748883199999998
231,USGS,5355200,5/19/1992,661.0,0.424876292,18.7174048
232,USGS,5355200,5/20/1992,650.0,0.417805734,18.40592
233,USGS,5355200,5/21/1992,715.0,0.459586307,20.246512
234,USGS,5355200,5/22/1992,503.0,0.32331736,14.2433504
235,USGS,5355200,5/23/1992,527.0,0.338744033,14.9229536
236,USGS,5355200,5/24/1992,496.0,0.318817914,14.0451328
237,USGS,5355200,5/25/1992,463.0,0.297606238,13.1106784
238,USGS,5355200,5/26/1992,523.0,0.336172921,14.8096864
239,USGS,5355200,5/27/1992,573.0,0.368311824,16.2255264
240,USGS,5355200,5/28/1992,705.0,0.453158527,19.963344
241,USGS,5355200,5/29/1992,762.0,0.489796876,21.577401599999998
242,USGS,5355200,5/30/1992,702.0,0.451230192,19.8783936
243,USGS,5355200,5/31/1992,637.0,0.409449619,18.037801599999998
244,USGS,5355200,6/1/1992,547.0,0.351599594,15.4892896
245,USGS,5355200,6/2/1992,494.0,0.317532358,13.9884992
246,USGS,5355200,6/3/1992,504.0,0.323960138,14.2716672
247,USGS,5355200,6/4/1992,491.0,0.315604024,13.9035488
248,USGS,5355200,6/5/1992,419.0,0.269324004,11.8647392
249,USGS,5355200,6/6/1992,394.0,0.253254552,11.1568192
250,USGS,5355200,6/7/1992,367.0,0.235899545,10.3922656
251,USGS,5355200,6/8/1992,364.0,0.233971211,10.3073152
252,USGS,5355200,6/9/1992,367.0,0.235899545,10.3922656
253,USGS,5355200,6/10/1992,363.0,0.233328433,10.278998399999999
254,USGS,5355200,6/11/1992,357.0,0.229471765,10.1090976
255,USGS,5355200,6/12/1992,346.0,0.222401206,9.7976128
256,USGS,5355200,6/13/1992,353.0,0.226900652,9.9958304
257,USGS,5355200,6/14/1992,350.0,0.224972318,9.91088
258,USGS,5355200,6/15/1992,350.0,0.224972318,9.91088
259,USGS,5355200,6/16/1992,397.0,0.255182887,11.2417696
260,USGS,5355200,6/17/1992,835.0,0.536719673,23.644528
261,USGS,5355200,6/18/1992,1780.0,1.144144932,50.403904
262,USGS,5355200,6/19/1992,1730.0,1.11200603,48.988064
263,USGS,5355200,6/20/1992,1210.0,0.777761443,34.263328
264,USGS,5355200,6/21/1992,1100.0,0.707055857,31.14848
265,USGS,5355200,6/22/1992,989.0,0.635707493,28.0053152
266,USGS,5355200,6/23/1992,1000.0,0.642778052,28.3168
267,USGS,5355200,6/24/1992,1070.0,0.687772516,30.298976
268,USGS,5355200,6/25/1992,976.0,0.627351379,27.637196799999998
269,USGS,5355200,6/26/1992,824.0,0.529649115,23.3330432
270,USGS,5355200,6/27/1992,778.0,0.500081324,22.0304704
271,USGS,5355200,6/28/1992,762.0,0.489796876,21.577401599999998
272,USGS,5355200,6/29/1992,754.0,0.484654651,21.3508672
273,USGS,5355200,6/30/1992,615.0,0.395308502,17.414832
274,USGS,5355200,7/1/1992,522.0,0.335530143,14.7813696
275,USGS,5355200,7/2/1992,838.0,0.538648008,23.7294784
276,USGS,5355200,7/3/1992,1140.0,0.732766979,32.281152
277,USGS,5355200,7/4/1992,1380.0,0.887033712,39.077184
278,USGS,5355200,7/5/1992,1360.0,0.874178151,38.510848
279,USGS,5355200,7/6/1992,1240.0,0.797044784,35.112832
280,USGS,5355200,7/7/1992,1090.0,0.700628077,30.865312
281,USGS,5355200,7/8/1992,1080.0,0.694200296,30.582144
282,USGS,5355200,7/9/1992,976.0,0.627351379,27.637196799999998
283,USGS,5355200,7/10/1992,875.0,0.562430795,24.7772
284,USGS,5355200,7/11/1992,955.0,0.61385304,27.042544
285,USGS,5355200,7/12/1992,1050.0,0.674916955,29.73264
286,USGS,5355200,7/13/1992,1080.0,0.694200296,30.582144
287,USGS,5355200,7/14/1992,1030.0,0.662061394,29.166304
288,USGS,5355200,7/15/1992,950.0,0.610639149,26.90096
289,USGS,5355200,7/16/1992,879.0,0.565001908,24.8904672
290,USGS,5355200,7/17/1992,862.0,0.554074681,24.4090816
291,USGS,5355200,7/18/1992,838.0,0.538648008,23.7294784
292,USGS,5355200,7/19/1992,846.0,0.543790232,23.9560128
293,USGS,5355200,7/20/1992,821.0,0.527720781,23.2480928
294,USGS,5355200,7/21/1992,802.0,0.515507998,22.7100736
295,USGS,5355200,7/22/1992,754.0,0.484654651,21.3508672
296,USGS,5355200,7/23/1992,611.0,0.39273739,17.3015648
297,USGS,5355200,7/24/1992,616.0,0.39595128,17.4431488
298,USGS,5355200,7/25/1992,651.0,0.418448512,18.4342368
299,USGS,5355200,7/26/1992,690.0,0.443516856,19.538592
300,USGS,5355200,7/27/1992,680.0,0.437089075,19.255424
301,USGS,5355200,7/28/1992,661.0,0.424876292,18.7174048
302,USGS,5355200,7/29/1992,569.0,0.365740712,16.1122592
303,USGS,5355200,7/30/1992,515.0,0.331030697,14.583152
304,USGS,5355200,7/31/1992,507.0,0.325888472,14.3566176
305,USGS,5355200,8/1/1992,445.0,0.286036233,12.600976
306,USGS,5355200,8/2/1992,511.0,0.328459585,14.469884799999999
307,USGS,5355200,8/3/1992,451.0,0.289892901,12.7708768
308,USGS,5355200,8/4/1992,446.0,0.286679011,12.6292928
309,USGS,5355200,8/5/1992,437.0,0.280894009,12.374441599999999
310,USGS,5355200,8/6/1992,417.0,0.268038448,11.8081056
311,USGS,5355200,8/7/1992,493.0,0.31688958,13.960182399999999
312,USGS,5355200,8/8/1992,604.0,0.388237943,17.103347199999998
313,USGS,5355200,8/9/1992,672.0,0.431946851,19.0288896
314,USGS,5355200,8/10/1992,708.0,0.455086861,20.0482944
315,USGS,5355200,8/11/1992,687.0,0.441588522,19.4536416
316,USGS,5355200,8/12/1992,645.0,0.414591844,18.264336
317,USGS,5355200,8/13/1992,543.0,0.349028482,15.3760224
318,USGS,5355200,8/14/1992,536.0,0.344529036,15.1778048
319,USGS,5355200,8/15/1992,565.0,0.363169599,15.998992
320,USGS,5355200,8/16/1992,566.0,0.363812377,16.0273088
321,USGS,5355200,8/17/1992,419.0,0.269324004,11.8647392
322,USGS,5355200,8/18/1992,442.0,0.284107899,12.516025599999999
323,USGS,5355200,8/19/1992,486.0,0.312390133,13.7619648
324,USGS,5355200,8/20/1992,486.0,0.312390133,13.7619648
325,USGS,5355200,8/21/1992,524.0,0.336815699,14.8380032
326,USGS,5355200,8/22/1992,457.0,0.29374957,12.9407776
327,USGS,5355200,8/23/1992,384.0,0.246826772,10.8736512
328,USGS,5355200,8/24/1992,376.0,0.241684548,10.6471168
329,USGS,5355200,8/25/1992,463.0,0.297606238,13.1106784
330,USGS,5355200,8/26/1992,494.0,0.317532358,13.9884992
331,USGS,5355200,8/27/1992,504.0,0.323960138,14.2716672
332,USGS,5355200,8/28/1992,402.0,0.258396777,11.3833536
333,USGS,5355200,8/29/1992,408.0,0.262253445,11.5532544
334,USGS,5355200,8/30/1992,394.0,0.253254552,11.1568192
335,USGS,5355200,8/31/1992,347.0,0.223043984,9.8259296
336,USGS,5355200,9/1/1992,294.0,0.188976747,8.3251392
337,USGS,5355200,9/2/1992,305.0,0.196047306,8.636624
338,USGS,5355200,9/3/1992,276.0,0.177406742,7.8154368
339,USGS,5355200,9/4/1992,290.0,0.186405635,8.211872
340,USGS,5355200,9/5/1992,332.0,0.213402313,9.4011776
341,USGS,5355200,9/6/1992,716.0,0.460229085,20.274828799999998
342,USGS,5355200,9/7/1992,982.0,0.631208047,27.8070976
343,USGS,5355200,9/8/1992,997.0,0.640849718,28.2318496
344,USGS,5355200,9/9/1992,886.0,0.569501354,25.0886848
345,USGS,5355200,9/10/1992,785.0,0.504580771,22.228688
346,USGS,5355200,9/11/1992,750.0,0.482083539,21.2376
347,USGS,5355200,9/12/1992,652.0,0.41909129,18.4625536
348,USGS,5355200,9/13/1992,519.0,0.333601809,14.6964192
349,USGS,5355200,9/14/1992,518.0,0.332959031,14.6681024
350,USGS,5355200,9/15/1992,587.0,0.377310716,16.6219616
351,USGS,5355200,9/16/1992,2960.0,1.902623034,83.817728
352,USGS,5355200,9/17/1992,3100.0,1.992611961,87.78208
353,USGS,5355200,9/18/1992,2350.0,1.510528422,66.54448
354,USGS,5355200,9/19/1992,1740.0,1.11843381,49.271232
355,USGS,5355200,9/20/1992,1460.0,0.938455956,41.342528
356,USGS,5355200,9/21/1992,1260.0,0.809900345,35.679168
357,USGS,5355200,9/22/1992,1160.0,0.74562254,32.847488
358,USGS,5355200,9/23/1992,1030.0,0.662061394,29.166304
359,USGS,5355200,9/24/1992,951.0,0.611281927,26.9292768
360,USGS,5355200,9/25/1992,892.0,0.573358022,25.2585856
361,USGS,5355200,9/26/1992,844.0,0.542504676,23.8993792
362,USGS,5355200,9/27/1992,823.0,0.529006337,23.3047264
363,USGS,5355200,9/28/1992,811.0,0.521293,22.9649248
364,USGS,5355200,9/29/1992,693.0,0.44544519,19.623542399999998
365,USGS,5355200,9/30/1992,718.0,0.461514641,20.3314624
366,USGS,5355200,10/1/1992,794.0,0.510365773,22.4835392
367,USGS,5355200,10/2/1992,767.0,0.493010766,21.7189856
368,USGS,5355200,10/3/1992,634.0,0.407521285,17.9528512
369,USGS,5355200,10/4/1992,674.0,0.433232407,19.0855232
370,USGS,5355200,10/5/1992,644.0,0.413949065,18.2360192
371,USGS,5355200,10/6/1992,651.0,0.418448512,18.4342368
372,USGS,5355200,10/7/1992,892.0,0.573358022,25.2585856
373,USGS,5355200,10/8/1992,1010.0,0.649205832,28.599968
374,USGS,5355200,10/9/1992,1790.0,1.150572713,50.687072
375,USGS,5355200,10/10/1992,3010.0,1.934761936,85.233568
376,USGS,5355200,10/11/1992,2910.0,1.870484131,82.401888
377,USGS,5355200,10/12/1992,2480.0,1.594089569,70.225664
378,USGS,5355200,10/13/1992,1950.0,1.253417201,55.21776
379,USGS,5355200,10/14/1992,1730.0,1.11200603,48.988064
380,USGS,5355200,10/15/1992,1490.0,0.957739297,42.192032
381,USGS,5355200,10/16/1992,1440.0,0.925600395,40.776192
382,USGS,5355200,10/17/1992,1220.0,0.784189223,34.546496
383,USGS,5355200,10/18/1992,1240.0,0.797044784,35.112832
384,USGS,5355200,10/19/1992,1140.0,0.732766979,32.281152
385,USGS,5355200,10/20/1992,1240.0,0.797044784,35.112832
386,USGS,5355200,10/21/1992,1090.0,0.700628077,30.865312
387,USGS,5355200,10/22/1992,1130.0,0.726339199,31.997984
388,USGS,5355200,10/23/1992,1040.0,0.668489174,29.449472
389,USGS,5355200,10/24/1992,983.0,0.631850825,27.8354144
390,USGS,5355200,10/25/1992,971.0,0.624137488,27.4956128
391,USGS,5355200,10/26/1992,968.0,0.622209154,27.4106624
392,USGS,5355200,10/27/1992,1020.0,0.655633613,28.883136
393,USGS,5355200,10/28/1992,1170.0,0.752050321,33.130656
394,USGS,5355200,10/29/1992,1080.0,0.694200296,30.582144
395,USGS,5355200,10/30/1992,1040.0,0.668489174,29.449472
396,USGS,5355200,10/31/1992,1010.0,0.649205832,28.599968
397,USGS,5355200,11/1/1992,1010.0,0.649205832,28.599968
398,USGS,5355200,11/2/1992,1240.0,0.797044784,35.112832
399,USGS,5355200,11/3/1992,1310.0,0.842039248,37.095008
400,USGS,5355200,11/4/1992,1500.0,0.964167078,42.4752
401,USGS,5355200,11/5/1992,1680.0,1.079867127,47.572224
402,USGS,5355200,11/6/1992,1740.0,1.11843381,49.271232
403,USGS,5355200,11/7/1992,1700.0,1.092722688,48.13856
404,USGS,5355200,11/8/1992,1600.0,1.028444883,45.30688
405,USGS,5355200,11/9/1992,1520.0,0.977022639,43.041536
406,USGS,5355200,11/10/1992,1520.0,0.977022639,43.041536
407,USGS,5355200,11/11/1992,1610.0,1.034872664,45.590047999999996
408,USGS,5355200,11/12/1992,1670.0,1.073439347,47.289056
409,USGS,5355200,11/13/1992,1540.0,0.9898782,43.607872
410,USGS,5355200,11/14/1992,1390.0,0.893461492,39.360352
411,USGS,5355200,11/15/1992,1270.0,0.816328126,35.962336
412,USGS,5355200,11/16/1992,1240.0,0.797044784,35.112832
413,USGS,5355200,11/17/1992,1270.0,0.816328126,35.962336
414,USGS,5355200,11/18/1992,1310.0,0.842039248,37.095008
415,USGS,5355200,11/19/1992,1250.0,0.803472565,35.396
416,USGS,5355200,11/20/1992,1240.0,0.797044784,35.112832
417,USGS,5355200,11/21/1992,1430.0,0.919172614,40.493024
418,USGS,5355200,11/22/1992,1610.0,1.034872664,45.590047999999996
419,USGS,5355200,11/23/1992,1660.0,1.067011566,47.005888
